Source;Threads;Input;Result;Output
parallel;2;10x1M;3.389335;ok
parallel;2;10x2M;7.645305;ok
parallel;2;10x5M;64.241401;ok
parallel;4;10x1M;4.226386;ok
parallel;4;10x2M;9.821572;ok
parallel;4;10x5M;59.117245;ok
parallel;8;10x1M;6.308841;ok
parallel;8;10x2M;13.314104;ok
parallel;8;10x5M;66.823317;ok
parallel;1;10x1M;5.407783;ok
parallel;1;10x2M;12.072255;ok
parallel;1;10x5M;112.059441;ok
parallel;2;10x1M;3.440587;ok
parallel;2;10x2M;7.654402;ok
parallel;2;10x5M;64.325716;ok
parallel;4;10x1M;4.305011;ok
parallel;4;10x2M;9.758745;ok
parallel;4;10x5M;58.983703;ok
parallel;8;10x1M;6.268119;ok
parallel;8;10x2M;12.801996;ok
parallel;8;10x5M;68.538576;ok
parallel;1;10x1M;5.405554;ok
parallel;1;10x2M;12.126042;ok
parallel;1;10x5M;112.018959;ok
parallel;2;10x1M;3.438904;ok
parallel;2;10x2M;7.707848;ok
parallel;2;10x5M;64.296103;ok
parallel;4;10x1M;4.285958;ok
parallel;4;10x2M;9.695116;ok
parallel;4;10x5M;58.265391;ok
parallel;8;10x1M;6.374760;ok
parallel;8;10x2M;12.888596;ok
parallel;8;10x5M;67.176981;ok
parallel;1;10x1M;5.399268;ok
parallel;1;10x2M;12.136107;ok
parallel;1;10x5M;112.098964;ok
parallel;2;10x1M;3.445798;ok
parallel;2;10x2M;7.641113;ok
parallel;2;10x5M;64.207628;ok
parallel;4;10x1M;4.302853;ok
parallel;4;10x2M;9.894558;ok
parallel;4;10x5M;58.722628;ok
parallel;8;10x1M;6.548092;ok
parallel;8;10x2M;12.424513;ok
parallel;8;10x5M;69.371194;ok
parallel;1;10x1M;5.402948;ok
parallel;1;10x2M;12.123429;ok
parallel;1;10x5M;112.099392;ok
parallel;2;10x1M;3.374301;ok
parallel;2;10x2M;7.619200;ok
parallel;2;10x5M;64.226063;ok
parallel;4;10x1M;4.294747;ok
parallel;4;10x2M;9.852205;ok
parallel;4;10x5M;58.952892;ok
parallel;8;10x1M;5.947510;ok
parallel;8;10x2M;12.570032;ok
parallel;8;10x5M;68.000136;ok
sequential_percentage;1;10x1M;0.847287;ok
sequential_percentage;1;10x2M;0.862921;ok
sequential_percentage;1;10x5M;0.963289;ok
sequential_percentage;1;10x1M;0.847425;ok
sequential_percentage;1;10x2M;0.863553;ok
sequential_percentage;1;10x5M;0.963305;ok
sequential_percentage;1;10x1M;0.847096;ok
sequential_percentage;1;10x2M;0.863434;ok
sequential_percentage;1;10x5M;0.963290;ok
sequential_percentage;1;10x1M;0.849894;ok
sequential_percentage;1;10x2M;0.864328;ok
sequential_percentage;1;10x5M;0.963338;ok
sequential_percentage;1;10x1M;0.845777;ok
sequential_percentage;1;10x2M;0.863969;ok
sequential_percentage;1;10x5M;0.963309;ok
sequential_percentage;1;10x1M;0.849574;ok
sequential_percentage;1;10x2M;0.863904;ok
sequential_percentage;1;10x5M;0.963244;ok
sequential_percentage;1;10x1M;0.844400;ok
sequential_percentage;1;10x2M;0.862687;ok
sequential_percentage;1;10x5M;0.963294;ok
sequential_percentage;1;10x1M;0.847347;ok
sequential_percentage;1;10x2M;0.863562;ok
sequential_percentage;1;10x5M;0.963285;ok
sequential_percentage;1;10x1M;0.849492;ok
sequential_percentage;1;10x2M;0.864292;ok
sequential_percentage;1;10x5M;0.963234;ok
sequential_percentage;1;10x1M;0.849272;ok
sequential_percentage;1;10x2M;0.863240;ok
sequential_percentage;1;10x5M;0.963335;ok
sequential_percentage;1;10x1M;0.847935;ok
sequential_percentage;1;10x2M;0.863540;ok
sequential_percentage;1;10x5M;0.963390;ok
sequential_percentage;1;10x1M;0.847223;ok
sequential_percentage;1;10x2M;0.863712;ok
sequential_percentage;1;10x5M;0.963278;ok
sequential_percentage;1;10x1M;0.846931;ok
sequential_percentage;1;10x2M;0.864334;ok
sequential_percentage;1;10x5M;0.963251;ok
sequential_percentage;1;10x1M;0.846467;ok
sequential_percentage;1;10x2M;0.863260;ok
sequential_percentage;1;10x5M;0.962980;ok
sequential_percentage;1;10x1M;0.846574;ok
sequential_percentage;1;10x2M;0.862577;ok
sequential_percentage;1;10x5M;0.963285;ok
sequential_percentage;1;10x1M;0.846175;ok
sequential_percentage;1;10x2M;0.863525;ok
sequential_percentage;1;10x5M;0.963314;ok
sequential_percentage;1;10x1M;0.847787;ok
sequential_percentage;1;10x2M;0.863373;ok
sequential_percentage;1;10x5M;0.963295;ok
sequential_percentage;1;10x1M;0.847868;ok
sequential_percentage;1;10x2M;0.863678;ok
sequential_percentage;1;10x5M;0.963295;ok
sequential_percentage;1;10x1M;0.847277;ok
sequential_percentage;1;10x2M;0.863886;ok
sequential_percentage;1;10x5M;0.963292;ok
sequential_percentage;1;10x1M;0.845998;ok
sequential_percentage;1;10x2M;0.864015;ok
sequential_percentage;1;10x5M;0.963355;ok
parallel_percentage;1;10x1M;0.845037;ok
parallel_percentage;1;10x2M;0.862125;ok
parallel_percentage;1;10x5M;0.962591;ok
parallel_percentage;2;10x1M;0.736694;ok
parallel_percentage;2;10x2M;0.779026;ok
parallel_percentage;2;10x5M;0.931933;ok
parallel_percentage;4;10x1M;0.463346;ok
parallel_percentage;4;10x2M;0.530030;ok
parallel_percentage;4;10x5M;0.795257;ok
parallel_percentage;8;10x1M;0.418598;ok
parallel_percentage;8;10x2M;0.386796;ok
parallel_percentage;8;10x5M;0.701241;ok
parallel_percentage;1;10x1M;0.844458;ok
parallel_percentage;1;10x2M;0.861687;ok
parallel_percentage;1;10x5M;0.962641;ok
parallel_percentage;2;10x1M;0.735768;ok
parallel_percentage;2;10x2M;0.771118;ok
parallel_percentage;2;10x5M;0.932948;ok
parallel_percentage;4;10x1M;0.461975;ok
parallel_percentage;4;10x2M;0.524311;ok
parallel_percentage;4;10x5M;0.796958;ok
parallel_percentage;8;10x1M;0.401799;ok
parallel_percentage;8;10x2M;0.372135;ok
parallel_percentage;8;10x5M;0.700517;ok
parallel_percentage;1;10x1M;0.845984;ok
parallel_percentage;1;10x2M;0.862198;ok
parallel_percentage;1;10x5M;0.962539;ok
parallel_percentage;2;10x1M;0.742453;ok
parallel_percentage;2;10x2M;0.773384;ok
parallel_percentage;2;10x5M;0.931681;ok
parallel_percentage;4;10x1M;0.463815;ok
parallel_percentage;4;10x2M;0.532186;ok
parallel_percentage;4;10x5M;0.823461;ok
parallel_percentage;8;10x1M;0.349102;ok
parallel_percentage;8;10x2M;0.393670;ok
parallel_percentage;8;10x5M;0.712084;ok
parallel_percentage;1;10x1M;0.846939;ok
parallel_percentage;1;10x2M;0.861417;ok
parallel_percentage;1;10x5M;0.962581;ok
parallel_percentage;2;10x1M;0.735979;ok
parallel_percentage;2;10x2M;0.786208;ok
parallel_percentage;2;10x5M;0.936403;ok
parallel_percentage;4;10x1M;0.463890;ok
parallel_percentage;4;10x2M;0.532340;ok
parallel_percentage;4;10x5M;0.807441;ok
parallel_percentage;8;10x1M;0.389285;ok
parallel_percentage;8;10x2M;0.392567;ok
parallel_percentage;8;10x5M;0.701897;ok
parallel_percentage;1;10x1M;0.845134;ok
parallel_percentage;1;10x2M;0.861350;ok
parallel_percentage;1;10x5M;0.962547;ok
parallel_percentage;2;10x1M;0.746631;ok
parallel_percentage;2;10x2M;0.767233;ok
parallel_percentage;2;10x5M;0.931636;ok
parallel_percentage;4;10x1M;0.463976;ok
parallel_percentage;4;10x2M;0.527337;ok
parallel_percentage;4;10x5M;0.797516;ok
parallel_percentage;8;10x1M;0.418592;ok
parallel_percentage;8;10x2M;0.385042;ok
parallel_percentage;8;10x5M;0.705613;ok
parallel_percentage;1;10x1M;0.845508;ok
parallel_percentage;1;10x2M;0.862071;ok
parallel_percentage;1;10x5M;0.962477;ok
parallel_percentage;2;10x1M;0.735139;ok
parallel_percentage;2;10x2M;0.764740;ok
parallel_percentage;2;10x5M;0.930963;ok
parallel_percentage;4;10x1M;0.461988;ok
parallel_percentage;4;10x2M;0.522092;ok
